181407 tcriss    20   0 12.362g  79848  11540 S  18.2  0.2   0:02.86 java
181407 tcriss    20   0 12.362g  79848  11540 S  18.2  0.2   0:02.88 java
181407 tcriss    20   0 12.362g  80112  11540 S  18.2  0.2   0:02.90 java
181407 tcriss    20   0 12.362g  80112  11540 S   9.1  0.2   0:02.91 java
181407 tcriss    20   0 12.362g  80376  11540 S  18.2  0.2   0:02.93 java
181407 tcriss    20   0 12.362g  80376  11540 S  18.2  0.2   0:02.95 java
181407 tcriss    20   0 12.362g  80640  11540 S  18.2  0.2   0:02.97 java
181407 tcriss    20   0 12.362g  80640  11540 S  18.2  0.2   0:02.99 java
181407 tcriss    20   0 12.362g  80904  11540 S  18.2  0.2   0:03.01 java
181407 tcriss    20   0 12.362g  81308  11656 S  18.2  0.2   0:03.03 java
181407 tcriss    20   0 12.362g  81308  11656 S  18.2  0.2   0:03.05 java
181407 tcriss    20   0 12.362g  81568  11656 S  18.2  0.3   0:03.07 java
181407 tcriss    20   0 12.362g  81568  11656 S  18.2  0.3   0:03.09 java
181407 tcriss    20   0 12.362g  81800  11656 S   9.1  0.3   0:03.10 java
181407 tcriss    20   0 12.362g  81800  11656 S  18.2  0.3   0:03.12 java
181407 tcriss    20   0 12.362g  82028  11656 S  18.2  0.3   0:03.14 java
181407 tcriss    20   0 12.362g  82244  11656 S  18.2  0.3   0:03.16 java
181407 tcriss    20   0 12.362g  82244  11656 S  18.2  0.3   0:03.18 java
181407 tcriss    20   0 12.362g  82508  11656 S  18.2  0.3   0:03.20 java
181407 tcriss    20   0 12.362g  82508  11656 S   9.1  0.3   0:03.21 java
181407 tcriss    20   0 12.362g  82772  11656 S  27.3  0.3   0:03.24 java
181407 tcriss    20   0 12.362g  82772  11656 S  18.2  0.3   0:03.26 java
181407 tcriss    20   0 12.362g  83036  11656 S  18.2  0.3   0:03.28 java
181407 tcriss    20   0 12.362g  83036  11656 S  18.2  0.3   0:03.30 java
181407 tcriss    20   0 12.362g  83300  11656 S   9.1  0.3   0:03.31 java
181407 tcriss    20   0 12.362g  83300  11656 S  18.2  0.3   0:03.33 java
181407 tcriss    20   0 12.362g  83564  11656 S  18.2  0.3   0:03.35 java
181407 tcriss    20   0 12.362g  83564  11656 S  18.2  0.3   0:03.37 java
181407 tcriss    20   0 12.362g  83824  11656 S  18.2  0.3   0:03.39 java
181407 tcriss    20   0 12.362g  83824  11656 S  18.2  0.3   0:03.41 java
181407 tcriss    20   0 12.362g  84088  11656 S  18.2  0.3   0:03.43 java
181407 tcriss    20   0 12.362g  84088  11656 S  18.2  0.3   0:03.45 java
181407 tcriss    20   0 12.362g  84352  11656 S  18.2  0.3   0:03.47 java
181407 tcriss    20   0 12.362g  84352  11656 S   9.1  0.3   0:03.48 java
181407 tcriss    20   0 12.362g  84616  11656 S  27.3  0.3   0:03.51 java
181407 tcriss    20   0 12.362g  84616  11656 S  18.2  0.3   0:03.53 java
181407 tcriss    20   0 12.362g  84880  11656 S  27.3  0.3   0:03.56 java
181407 tcriss    20   0 12.362g  84880  11656 S  18.2  0.3   0:03.58 java
181407 tcriss    20   0 12.362g  85144  11656 S  18.2  0.3   0:03.60 java
181407 tcriss    20   0 12.362g  85144  11656 S  18.2  0.3   0:03.62 java
181407 tcriss    20   0 12.362g  85408  11656 S   9.1  0.3   0:03.63 java
181407 tcriss    20   0 12.362g  85408  11656 S  18.2  0.3   0:03.65 java
181407 tcriss    20   0 12.362g  85668  11656 S  18.2  0.3   0:03.67 java
181407 tcriss    20   0 12.362g  85932  11656 S  18.2  0.3   0:03.69 java
181407 tcriss    20   0 12.362g  85932  11656 S  16.7  0.3   0:03.71 java
181407 tcriss    20   0 12.362g  86196  11656 S  18.2  0.3   0:03.73 java
181407 tcriss    20   0 12.362g  86196  11656 S  18.2  0.3   0:03.75 java
181407 tcriss    20   0 12.362g  86460  11656 S  18.2  0.3   0:03.77 java
181407 tcriss    20   0 12.362g  86460  11656 S  18.2  0.3   0:03.79 java
181407 tcriss    20   0 12.362g  86724  11656 S  18.2  0.3   0:03.81 java
181407 tcriss    20   0 12.362g  86724  11656 S  18.2  0.3   0:03.83 java
181407 tcriss    20   0 12.362g  86988  11656 S  18.2  0.3   0:03.85 java
181407 tcriss    20   0 12.362g  86988  11656 S   9.1  0.3   0:03.86 java
181407 tcriss    20   0 12.362g  87252  11656 S  27.3  0.3   0:03.89 java
181407 tcriss    20   0 12.362g  87252  11656 S  18.2  0.3   0:03.91 java
181407 tcriss    20   0 12.362g  87516  11656 S  10.0  0.3   0:03.92 java
181407 tcriss    20   0 12.362g  87516  11656 S  18.2  0.3   0:03.94 java
181407 tcriss    20   0 12.362g  87776  11656 S   9.1  0.3   0:03.95 java
181407 tcriss    20   0 12.362g  87776  11656 S  18.2  0.3   0:03.97 java
181407 tcriss    20   0 12.362g  88040  11656 S   9.1  0.3   0:03.98 java
181407 tcriss    20   0 12.362g  88040  11656 S  18.2  0.3   0:04.00 java
181407 tcriss    20   0 12.362g  88304  11656 S   9.1  0.3   0:04.01 java
181407 tcriss    20   0 12.362g  88304  11656 S  18.2  0.3   0:04.03 java
181407 tcriss    20   0 12.362g  88568  11656 S   9.1  0.3   0:04.04 java
181407 tcriss    20   0 12.362g  88832  11656 S  18.2  0.3   0:04.06 java
181407 tcriss    20   0 12.362g  88832  11656 S   9.1  0.3   0:04.07 java
181407 tcriss    20   0 12.362g  89096  11656 S  27.3  0.3   0:04.10 java
181407 tcriss    20   0 12.362g  89096  11656 S  18.2  0.3   0:04.12 java
181407 tcriss    20   0 12.362g  89360  11656 S   9.1  0.3   0:04.13 java
181407 tcriss    20   0 12.362g  89360  11656 S  18.2  0.3   0:04.15 java
181407 tcriss    20   0 12.362g  89624  11656 S   9.1  0.3   0:04.16 java
181407 tcriss    20   0 12.362g  89624  11656 S  18.2  0.3   0:04.18 java
181407 tcriss    20   0 12.362g  89944  11656 S  18.2  0.3   0:04.20 java
181407 tcriss    20   0 12.362g  89944  11656 S   9.1  0.3   0:04.21 java
181407 tcriss    20   0 12.362g  90128  11656 S  18.2  0.3   0:04.23 java
181407 tcriss    20   0 12.362g  90344  11656 S   9.1  0.3   0:04.24 java
181407 tcriss    20   0 12.362g  90344  11656 S  18.2  0.3   0:04.26 java
181407 tcriss    20   0 12.362g  90608  11656 S  18.2  0.3   0:04.28 java
181407 tcriss    20   0 12.362g  90608  11656 S   9.1  0.3   0:04.29 java
181407 tcriss    20   0 12.362g  90872  11656 S  18.2  0.3   0:04.31 java
181407 tcriss    20   0 12.362g  90872  11656 S  18.2  0.3   0:04.33 java
181407 tcriss    20   0 12.362g  91136  11656 S  18.2  0.3   0:04.35 java
181407 tcriss    20   0 12.362g  91136  11656 S  18.2  0.3   0:04.37 java
181407 tcriss    20   0 12.362g  91400  11656 S  18.2  0.3   0:04.39 java
181407 tcriss    20   0 12.362g  91400  11656 S  18.2  0.3   0:04.41 java
181407 tcriss    20   0 12.362g  91664  11656 S  18.2  0.3   0:04.43 java
181407 tcriss    20   0 12.362g  91664  11656 S  18.2  0.3   0:04.45 java
181407 tcriss    20   0 12.362g  91924  11656 S  18.2  0.3   0:04.47 java
181407 tcriss    20   0 12.362g  91924  11656 S  18.2  0.3   0:04.49 java
181407 tcriss    20   0 12.362g  92188  11656 S  18.2  0.3   0:04.51 java
181407 tcriss    20   0 12.362g  92188  11656 S  18.2  0.3   0:04.53 java
181407 tcriss    20   0 12.362g  92420  11656 S  27.3  0.3   0:04.56 java
181407 tcriss    20   0 12.362g  92684  11656 S  18.2  0.3   0:04.58 java
181407 tcriss    20   0 12.362g  92684  11656 S  18.2  0.3   0:04.60 java
181407 tcriss    20   0 12.362g  92948  11656 S  18.2  0.3   0:04.62 java
181407 tcriss    20   0 12.362g  92948  11656 S  16.7  0.3   0:04.64 java
181407 tcriss    20   0 12.362g  93212  11656 S  18.2  0.3   0:04.66 java
181407 tcriss    20   0 12.362g  93212  11656 S  18.2  0.3   0:04.68 java
181407 tcriss    20   0 12.362g  93476  11656 S  18.2  0.3   0:04.70 java
181407 tcriss    20   0 12.362g  93476  11656 S  27.3  0.3   0:04.73 java
181407 tcriss    20   0 12.362g  93808  11680 S  16.7  0.3   0:04.75 java
181407 tcriss    20   0 12.362g  93808  11680 S  18.2  0.3   0:04.77 java
181407 tcriss    20   0 12.362g  94068  11680 S   9.1  0.3   0:04.78 java
181407 tcriss    20   0 12.362g  94068  11680 S  27.3  0.3   0:04.81 java
181407 tcriss    20   0 12.362g  94332  11680 S  18.2  0.3   0:04.83 java
181407 tcriss    20   0 12.362g  94332  11680 S  18.2  0.3   0:04.85 java
181407 tcriss    20   0 12.362g  94596  11680 S  18.2  0.3   0:04.87 java
181407 tcriss    20   0 12.362g  94596  11680 S  16.7  0.3   0:04.89 java
181407 tcriss    20   0 12.362g  94860  11680 S  18.2  0.3   0:04.91 java
181407 tcriss    20   0 12.362g  94860  11680 S  27.3  0.3   0:04.94 java
181407 tcriss    20   0 12.362g  95124  11680 S  18.2  0.3   0:04.96 java
181407 tcriss    20   0 12.362g  95124  11680 S  18.2  0.3   0:04.98 java
181407 tcriss    20   0 12.362g  95388  11680 S  27.3  0.3   0:05.01 java
181407 tcriss    20   0 12.362g  95388  11680 S  18.2  0.3   0:05.03 java
181407 tcriss    20   0 12.362g  95652  11680 S  18.2  0.3   0:05.05 java
181407 tcriss    20   0 12.362g  95652  11680 S  18.2  0.3   0:05.07 java
181407 tcriss    20   0 12.362g  95916  11680 S  18.2  0.3   0:05.09 java
181407 tcriss    20   0 12.362g  95916  11680 S  18.2  0.3   0:05.11 java
181407 tcriss    20   0 12.362g  96176  11680 S  18.2  0.3   0:05.13 java
181407 tcriss    20   0 12.362g  96176  11680 S  18.2  0.3   0:05.15 java
181407 tcriss    20   0 12.362g  96440  11680 S  27.3  0.3   0:05.18 java
181407 tcriss    20   0 12.362g  96440  11680 S  18.2  0.3   0:05.20 java
181407 tcriss    20   0 12.362g  96704  11680 S  18.2  0.3   0:05.22 java
181407 tcriss    20   0 12.362g  96704  11680 S  18.2  0.3   0:05.24 java
181407 tcriss    20   0 12.362g  96968  11680 S  18.2  0.3   0:05.26 java
181407 tcriss    20   0 12.362g  96968  11680 S  18.2  0.3   0:05.28 java
181407 tcriss    20   0 12.362g  97232  11680 S  27.3  0.3   0:05.31 java
181407 tcriss    20   0 12.362g  97232  11680 S  27.3  0.3   0:05.34 java
181407 tcriss    20   0 12.362g  97496  11680 S  18.2  0.3   0:05.36 java
181407 tcriss    20   0 12.362g  97496  11680 S  18.2  0.3   0:05.38 java
181407 tcriss    20   0 12.362g  97760  11680 S  18.2  0.3   0:05.40 java
181407 tcriss    20   0 12.362g  97760  11680 S  18.2  0.3   0:05.42 java
181407 tcriss    20   0 12.362g  98020  11680 S  18.2  0.3   0:05.44 java
181407 tcriss    20   0 12.362g  98020  11680 S  18.2  0.3   0:05.46 java
181407 tcriss    20   0 12.362g  98284  11680 S  18.2  0.3   0:05.48 java
181407 tcriss    20   0 12.362g  98284  11680 S  27.3  0.3   0:05.51 java
181407 tcriss    20   0 12.362g  98548  11680 S  18.2  0.3   0:05.53 java
181407 tcriss    20   0 12.362g  98548  11680 S  16.7  0.3   0:05.55 java
181407 tcriss    20   0 12.362g  98812  11680 S  18.2  0.3   0:05.57 java
181407 tcriss    20   0 12.362g  98812  11680 S  18.2  0.3   0:05.59 java
181407 tcriss    20   0 12.362g  99076  11680 S   9.1  0.3   0:05.60 java
181407 tcriss    20   0 12.362g  99076  11680 S  18.2  0.3   0:05.62 java
181407 tcriss    20   0 12.362g  99340  11680 S  18.2  0.3   0:05.64 java
181407 tcriss    20   0 12.362g  99340  11680 S  18.2  0.3   0:05.66 java
181407 tcriss    20   0 12.362g  99604  11680 S  18.2  0.3   0:05.68 java
181407 tcriss    20   0 12.362g  99868  11680 S  18.2  0.3   0:05.70 java
181407 tcriss    20   0 12.362g  99868  11680 S   9.1  0.3   0:05.71 java
181407 tcriss    20   0 12.362g 100128  11680 S  18.2  0.3   0:05.73 java
181407 tcriss    20   0 12.362g 100128  11680 S  18.2  0.3   0:05.75 java
181407 tcriss    20   0 12.362g 100392  11680 S  18.2  0.3   0:05.77 java
181407 tcriss    20   0 12.362g 100392  11680 S  18.2  0.3   0:05.79 java
181407 tcriss    20   0 12.362g 100656  11680 S   9.1  0.3   0:05.80 java
181407 tcriss    20   0 12.362g 100656  11680 S  18.2  0.3   0:05.82 java
181407 tcriss    20   0 12.362g 100920  11680 S  27.3  0.3   0:05.85 java
181407 tcriss    20   0 12.362g 100920  11680 S  18.2  0.3   0:05.87 java
181407 tcriss    20   0 12.362g 101184  11680 S  18.2  0.3   0:05.89 java
181407 tcriss    20   0 12.362g 101184  11680 S  18.2  0.3   0:05.91 java
181407 tcriss    20   0 12.362g 101448  11680 S  18.2  0.3   0:05.93 java
181407 tcriss    20   0 12.362g 101448  11680 S  18.2  0.3   0:05.95 java
181407 tcriss    20   0 12.362g 101712  11680 S   9.1  0.3   0:05.96 java
181407 tcriss    20   0 12.362g 101712  11680 S  18.2  0.3   0:05.98 java
181407 tcriss    20   0 12.362g 101976  11680 S  18.2  0.3   0:06.00 java
181407 tcriss    20   0 12.362g 101976  11680 S  18.2  0.3   0:06.02 java
181407 tcriss    20   0 12.362g 102236  11680 S  18.2  0.3   0:06.04 java
181407 tcriss    20   0 12.362g 102236  11680 S   9.1  0.3   0:06.05 java
